doc_id,title,topic,source_type,source_url,published_date,year,authors,local_path,retrieved_at
rag_001,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,rag,paper,https://arxiv.org/abs/2005.11401,2020-05-22,2020,Patrick Lewis; Ethan Perez; Aleksandra Piktus,sample/rag_sample.txt,2026-05-20
agent_001,LLM Powered Autonomous Agents,ai_agent,blog,https://lilianweng.github.io/posts/2023-06-23-agent/,2023-06-23,2023,Lilian Weng,sample/ai_agent_sample.txt,2026-05-20
kd_001,Distilling the Knowledge in a Neural Network,knowledge_distillation,paper,https://arxiv.org/abs/1503.02531,2015-03-09,2015,Geoffrey Hinton; Oriol Vinyals; Jeff Dean,sample/knowledge_distillation_sample.txt,2026-05-20
